pair
Ag-Al
Ag-Au
Ag-Ba
Ag-Ca
Ag-Ce
Ag-Cu
Ag-Ga
Ag-Gd
Ag-Hg
Ag-In
Ag-La
Ag-Li
Ag-Mg
Ag-Ni
Ag-Pb
Ag-Pd
Ag-Sc
Ag-Sn
Ag-Sr
Ag-Y
Ag-Yb
Ag-Zr
Al-Au
Al-Ba
Al-Ca
Al-Ce
Al-Cr
Al-Cu
Al-Fe
Al-Ga
Al-Gd
Al-La
Al-Li
Al-Mg
Al-Mn
Al-Mo
Al-Ni
Al-Pd
Al-Pr
Al-Sc
Al-Sn
Al-Sr
Al-Ta
Al-Ti
Al-U
Al-Y
Al-Zn
Al-Zr
Au-Ce
Au-Co
Au-Cu
Au-Ga
Au-Gd
Au-In
Au-La
Au-Nd
Au-Ni
Au-Pb
Au-Pd
Au-Sc
Au-Sn
Au-Ti
Au-Yb
Au-Zn
Au-Zr
Ba-Ca
Ba-Mg
Ba-Pb
Ca-In
Ca-Li
Ca-Mg
Ca-Ni
Ca-Pb
Ca-Sr
Cd-Cu
Cd-In
Cd-Mg
Cd-Na
Cd-Pb
Cd-Sn
Cd-Tl
Cd-Zn
Ce-Co
Ce-Cu
Ce-Fe
Ce-In
Ce-Ni
Co-Cr
Co-Cu
Co-Dy
Co-Fe
Co-Ga
Co-Gd
Co-Hf
Co-Ho
Co-La
Co-Ni
Co-Sm
Co-Sn
Co-Ti
Co-Zr
Cr-Cu
Cr-Pd
Cs-K
Cs-Na
Cs-Rb
Cu-Dy
Cu-Er
Cu-Eu
Cu-Fe
Cu-Ga
Cu-Gd
Cu-Hf
Cu-In
Cu-La
Cu-Mg
Cu-Mn
Cu-Nd
Cu-Ni
Cu-Pd
Cu-Pr
Cu-Sc
Cu-Sm
Cu-Sn
Cu-Sr
Cu-Ti
Cu-Tl
Cu-V
Cu-Y
Cu-Yb
Cu-Zn
Cu-Zr
Dy-Fe
Er-Fe
Eu-In
Eu-Sn
Fe-Gd
Fe-Lu
Fe-Mn
Fe-Mo
Fe-Nb
Fe-Nd
Fe-Ni
Fe-Pr
Fe-Sc
Fe-Sm
Fe-Ta
Fe-Tb
Fe-Ti
Fe-V
Fe-W
Fe-Y
Fe-Zr
Ga-Hg
Ga-In
Ga-La
Ga-Li
Ga-Mg
Ga-Na
Ga-Pb
Ga-Pd
Ga-Pt
Ga-Sn
Ga-Tl
Ga-Y
Ga-Zn
Gd-In
Hg-In
Hg-Pb
Hg-Sn
Hg-Tl
Hg-Zn
In-Ir
In-Li
In-Mg
In-Na
In-Pb
In-Pd
In-Pt
In-Sn
In-Zn
K-Na
K-Rb
La-Mn
La-Ni
La-Sn
Li-Mg
Li-Pb
Li-Sn
Li-Zn
Mg-Ni
Mg-Pb
Mg-Sn
Mg-Sr
Mg-Tl
Mg-Y
Mg-Yb
Mg-Zn
Mn-Nd
Mn-Ni
Mn-Sn
Mn-Zr
Na-Rb
Na-Sn
Nd-Ni
Ni-Pd
Ni-Sc
Ni-Sn
Ni-Ti
Ni-V
Ni-Yb
Ni-Zr
Pb-Pd
Pb-Pt
Pb-Sn
Pb-Tl
Pb-Yb
Pt-Sn
Ru-Sn
Sn-Ti
Sn-V
Sn-Zn
